"","Age_group","Gender","Institute_type","Internet_access","Device","Miss_classes","Platforms","Hours_of_classes","Class_duration","Breaks","Screen_time","Support","Support_type","Attendance","Attendance_relative","Attendance_reason","Participation","Patricipation_screen","Patricipation_teacher_camera_off","Patricipation_camera_off","Participation_login","Participation_distractions","Participation_bored","Participation_class_time","Participation_material","Participation_glitches","Participation_open_book","Participation_teachers","Participation_teacher_encouragement","Participation_exhausted","Help_needed","Feeling","Connection","Routine","Look_forward_to","Miss_classmates","Burden","Enjoyment","Progress","Stress_frustration","Open_book_interest","Social_media","Social_media_forward","Mood"
"233","Undergraduate Students (Adults aged 18 yrs and above )","Female","Partially Govt Aided","Yes","Mobile Phone","Yes","Google Classroom, Google Meet","5 hours","More than 45 minutes  but less than 1 hour","Yes","10 to 12 Hrs","Not at all","Collaborative work and events to keep us connected as a group, Presentations, Videos, Links to Educational Material","less than 30%","Much Lesser","Your attendance is low for those classes that are very early in the morning, You do not enjoy participating in online classes, Because of OBE pattern I no longer feel like attending lectures","Just joining the class and not paying attention purpose is to get attendance marked, Listening Passively in classes, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Disagree","Strongly agree","Disagree","Agree","Strongly agree","Working on myself as a student - avoiding distractions and being more disciplined","Tired","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Agree",5,1,5,5,3,3,"Frustrated"
"234","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes","Zoom, Google Classroom, Google Meet","5 hours","Between 1 hour - 1.5 hours","Yes","4 to 6 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Collaborative work and events to keep us connected as a group, Presentations, Videos, Links to Educational Material","70-89%","Much More","It has not decreased, I do not have adequate resources - Devices and connectivity to attend","Listening Attentively in classes and taking notes, Doing and submitting assignments/ projects/ research work assigned in time","Disagree","Strongly disagree","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Finding Ebooks-worksheets-study material etc. for learning from Internet, Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students","Relieved","Agree","Disagree","Strongly disagree","Strongly agree","Neither agree nor disagree",2,3,3,5,2,5,"Tired of phone and computer"
"235","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes","Zoom, Google Classroom, Google Meet","More than 5 hours","More than 45 minutes  but less than 1 hour","Yes","More than 12 hrs","Not at all","EBooks, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased, You are exhausted with online learning, You do not enjoy participating in online classes","Listening Passively in classes, Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Switching on my Camera in class, Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Agree","Neither agree nor disagree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Attempting group projects/ activities with other students, Giving Online tests-assignments and exams","Study goes on even after classes","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree",4,3,5,5,2,1,"Frustrated"
"236","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Laptop/ Desktop","No","Google Classroom, Google Meet","4 hours","Between 1 hour - 1.5 hours","No","8 to 10 Hrs","Not at all","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","90-100%","Much More","You are exhausted with online learning, You do not enjoy participating in online classes, I am discontented with the way some of my teachers are teaching online","Listening Attentively in classes and taking notes","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly disagree","Agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly agree","Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests","Exhausted","Disagree","Agree","Strongly disagree","Strongly agree","Strongly agree",2,3,4,4,2,1,"Tired of phone and computer"
"237","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","No","Google Meet","5 hours","More than 45 minutes  but less than 1 hour","No","8 to 10 Hrs","Yes but insufficient","Collaborative work and events to keep us connected as a group","50-69%","Almost the Same","Your attendance is low for those classes that are very early in the morning, You are exhausted with online learning, You do not enjoy participating in online classes","Just joining the class and not paying attention purpose is to get attendance marked","Strongly agree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Agree","Disagree","Strongly agree","Strongly disagree","Agree","Disagree","Strongly disagree","Strongly agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests","Overwhelmed","Disagree","Disagree","Disagree","Strongly agree","Strongly agree",2,1,5,5,2,1,"Tired of phone and computer"
"238","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","Yes","Google Classroom, Google Meet","5 hours","Between 1 hour - 1.5 hours","No","4 to 6 Hrs","Not at all","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","70-89%","Little More","You are exhausted with online learning, Lack of proper online learning resources, I am discontented with the way some of my teachers are teaching online","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Neither agree nor disagree","Agree","Agree","Strongly agree","Disagree","Disagree","Disagree","Strongly agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students","Exhausted","Disagree","Disagree","Disagree","Agree","Agree",3,4,4,3,2,2,"Tired of phone and computer"
"239","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","Yes","Zoom, Google Classroom, Google Meet","More than 5 hours","More than 1.5 hours","Yes","Less than 2 Hrs per day","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Presentations, Videos, Links to Educational Material","90-100%","Much More","I do not have adequate resources - Devices and connectivity to attend","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Finding Ebooks-worksheets-study material etc. for learning from Internet","Tired","Agree","Neither agree nor disagree","Disagree","Strongly agree","Disagree",2,3,4,2,4,2,"Tired of phone and computer"
"240","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Laptop/ Desktop","No","Google Classroom, Google Meet, YouTube","More than 5 hours","More than 45 minutes  but less than 1 hour","Yes","10 to 12 Hrs","Yes","EBooks, Presentations, Videos, Links to Educational Material","50-69%","Little Lesser","Your attendance is low for those classes that are very early in the morning, Your attendance is low for those classes that are very late in the afternoon / evening, You are exhausted with online learning","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class","Neither agree nor disagree","Agree","Disagree","Disagree","Neither agree nor disagree","Disagree","Agree","Disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Giving Online tests-assignments and exams","Exhausted","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree",2,4,4,2,2,2,"Overworked"
"241","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Laptop/ Desktop","Yes but only Sometimes","Google Classroom, Google Meet","More than 5 hours","More than 45 minutes  but less than 1 hour","Yes","10 to 12 Hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, EBooks","90-100%","Little More","You are exhausted with online learning, Technological glitches with platform/internet","Listening Attentively in classes and taking notes, Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Strongly agree","Disagree","Disagree","Strongly agree","Disagree","Strongly agree","Disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Strongly agree","Training on how to attend classes online more effectively, Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined","Exhausted","Agree","Disagree","Strongly disagree","Strongly agree","Strongly agree",3,2,4,5,2,1,"Tired of phone and computer"
"242","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes","Zoom, Google Classroom, Google Meet","More than 5 hours","More than 45 minutes  but less than 1 hour","Yes","2 to 4 Hrs","Not at all","Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","70-89%","Much More","You are exhausted with online learning, Technological glitches with platform/internet, I am discontented with the way some of my teachers are teaching online","Listening Attentively in classes and taking notes, Answering the questions asked by teachers or others during the class, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Disagree","Strongly agree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Finding Ebooks-worksheets-study material etc. for learning from Internet, Pursuing my personal projects/research interests","Study goes on even after classes","Neither agree nor disagree","Disagree","Strongly disagree","Strongly agree","Agree",2,3,4,4,3,4,"Nostalgic"
"243","Secondary / Senior Secondary Students (aged 14-18 yrs)","Female","Privately Owned","Yes","Mobile Phone","No","Zoom","4 hours","Less than 45 mins","Yes","6 to 8 Hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Collaborative work and events to keep us connected as a group, Presentations, Videos, Links to Educational Material","90-100%","Little More","It has not decreased","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Discussing topics with teachers and peers in class, Doing and submitting assignments/ projects/ research work assigned in time","Disagree","Strongly disagree","Agree","Disagree","Agree","Strongly agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students, Giving Online tests-assignments and exams","Study goes on even after classes","Strongly disagree","Neither agree nor disagree","Disagree","Strongly agree","Strongly disagree",3,4,3,4,2,1,"Anxious"
"244","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","No","Google Classroom, Google Meet","5 hours","Between 1 hour - 1.5 hours","Yes","4 to 6 Hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, EBooks, Presentations, Videos, Links to Educational Material","90-100%","Much More","It has not decreased, You do not enjoy participating in online classes, Technological glitches with platform/internet","Listening Attentively in classes and taking notes, Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Agree","Agree","Strongly disagree","Strongly agree","Agree","Disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Disagree","Disagree","Agree","Training on how to attend classes online more effectively, Working on myself as a student - avoiding distractions and being more disciplined, Giving Online tests-assignments and exams","Relieved","Neither agree nor disagree","Agree","Disagree","Disagree","Agree",2,2,4,2,2,1,"Tired of phone and computer"
"245","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","No","Google Meet","4 hours","Between 1 hour - 1.5 hours","Yes","6 to 8 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased","Listening Attentively in classes and taking notes, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","Disagree","Disagree","Disagree","Neither agree nor disagree","Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students","Relieved","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly agree",3,3,5,3,3,1,"Tired of phone and computer"
"246","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Laptop/ Desktop","No","Zoom, Google Meet","More than 5 hours","More than 45 minutes  but less than 1 hour","Yes","10 to 12 Hrs","Not at all","Nothing","50-69%","Little Lesser","Your attendance is low for those classes that are very late in the afternoon / evening, You are exhausted with online learning, You do not enjoy participating in online classes","Just joining the class and not paying attention purpose is to get attendance marked","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree","Strongly agree","Agree","Strongly agree","Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students","Tired","Disagree","Neither agree nor disagree","Strongly disagree","Agree","Disagree",5,3,4,4,1,2,"Crushingly bored"
"247","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Laptop/ Desktop","No","Zoom, Google Classroom, Google Meet","More than 5 hours","Between 1 hour - 1.5 hours","Yes","10 to 12 Hrs","Yes but insufficient","EBooks","less than 30%","Little Lesser","You do not enjoy participating in online classes, Technological glitches with platform/internet, I am discontented with the way some of my teachers are teaching online","Just joining the class and not paying attention purpose is to get attendance marked, Asking my doubts and queries in class, Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Disagree","Agree","Agree","Agree","Disagree","Strongly agree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students","Exhausted","Strongly disagree","Disagree","Strongly disagree","Disagree","Strongly disagree",4,3,5,4,2,4,"Anxious"
"248","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes but only Sometimes","Zoom, Google Classroom, Google Meet","4 hours","More than 45 minutes  but less than 1 hour","Yes","8 to 10 Hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","90-100%","Much More","It has not decreased, Technological glitches with platform/internet, I am discontented with the way some of my teachers are teaching online","Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Discussing topics with teachers and peers in class, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Receiving feedback from teachers, Giving Online tests-assignments and exams","Tired","Agree","Disagree","Neither agree nor disagree","Strongly agree","Disagree",2,4,3,4,3,1,"Anxious"
"249","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","No","Zoom, Google Classroom, Google Meet","More than 5 hours","Between 1 hour - 1.5 hours","Yes","6 to 8 Hrs","Yes","Collaborative work and events to keep us connected as a group","90-100%","Much More","It has not decreased","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Doing and submitting assignments/ projects/ research work assigned in time","Neither agree nor disagree","Agree","Strongly agree","Agree","Agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests","Tired","Neither agree nor disagree","Agree","Disagree","Strongly agree","Neither agree nor disagree",3,2,3,4,2,1,"Relaxed"
"250","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","Yes but only Sometimes","Zoom, Google Classroom, Google Meet","5 hours","More than 45 minutes  but less than 1 hour","Yes","6 to 8 Hrs","Yes","Presentations, Videos, Links to Educational Material","50-69%","Much Lesser","You are exhausted with online learning, You do not enjoy participating in online classes, Technological glitches with platform/internet","Just joining the class and not paying attention purpose is to get attendance marked, Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Disagree","Agree","Agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined","Relieved","Neither agree nor disagree","Disagree","Disagree","Strongly agree","Neither agree nor disagree",3,2,4,2,2,1,"Tired of phone and computer"
"251","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","Yes but only Sometimes","Google Meet","5 hours","More than 45 minutes  but less than 1 hour","Yes","10 to 12 Hrs","Not at all","Collaborative work and events to keep us connected as a group","90-100%","Almost the Same","It has not decreased, You are exhausted with online learning, Technological glitches with platform/internet","Listening Passively in classes, Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Strongly agree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined","Relieved","Disagree","Disagree","Neither agree nor disagree","Strongly agree","Strongly disagree",2,2,3,3,3,4,"Tired of phone and computer"
"252","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Laptop/ Desktop","Yes but only Sometimes","Google Classroom, Google Meet","More than 5 hours","Between 1 hour - 1.5 hours","Yes","More than 12 hrs","Not at all","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, EBooks, Presentations, Videos, Links to Educational Material","50-69%","Much Lesser","You are exhausted with online learning, You do not enjoy participating in online classes, Technological glitches with platform/internet","Just joining the class and not paying attention purpose is to get attendance marked, Listening Passively in classes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Discussing topics with teachers and peers in class, Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Strongly disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Agree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Training on how to attend classes online more effectively, Working on myself as a student - avoiding distractions and being more disciplined, Giving Online tests-assignments and exams","Exhausted","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree",4,1,5,5,1,2,"Overworked"
"253","Undergraduate Students (Adults aged 18 yrs and above )","Male","Privately Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes but only Sometimes","Zoom, Microsoft Teams, Google Meet","More than 5 hours","More than 1.5 hours","Yes","8 to 10 Hrs","Not at all","EBooks, Presentations, Videos, Links to Educational Material","70-89%","Almost the Same","You are exhausted with online learning, You do not enjoy participating in online classes, I am discontented with the way some of my teachers are teaching online","Listening Passively in classes, Switching on my Camera in class, Just joining the class and not paying attention purpose is to get attendance marked","Strongly agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Training on how to attend classes online more effectively, Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined","Exhausted","Disagree","Disagree","Disagree","Agree","Agree",2,2,4,3,1,3,"Tired of phone and computer"
"254","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Tablet/iPad","No","Google Classroom, Google Meet","More than 5 hours","Between 1 hour - 1.5 hours","Yes","More than 12 hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, One to One mentoring Sessions if required, Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","90-100%","Much More","It has not decreased, You are exhausted with online learning, I am discontented with the way some of my teachers are teaching online","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Discussing topics with teachers and peers in class, Doing and submitting assignments/ projects/ research work assigned in time","Neither agree nor disagree","Disagree","Neither agree nor disagree","Strongly disagree","Agree","Agree","Disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","Strongly disagree","Strongly agree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students","Exhausted","Disagree","Agree","Strongly disagree","Strongly agree","Strongly agree",2,4,4,3,1,1,"Tired of phone and computer"
"255","Undergraduate Students (Adults aged 18 yrs and above )","Male","Partially Govt Aided","Yes","Laptop/ Desktop","No","Zoom","2 hours","More than 1.5 hours","Yes","2 to 4 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","90-100%","Little More","It has not decreased, Your attendance is low for those classes that are very early in the morning, Your attendance is low for those classes that are very late in the afternoon / evening","Listening Passively in classes, Listening Attentively in classes and taking notes, Asking my doubts and queries in class","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Finding Ebooks-worksheets-study material etc. for learning from Internet","Tired","Disagree","Disagree","Disagree","Disagree","Disagree",4,4,4,5,4,4,"Peaceful"
"256","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","No","Google Classroom, Google Meet","More than 5 hours","Between 1 hour - 1.5 hours","Yes","10 to 12 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, EBooks, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased, Technological glitches with platform/internet","Listening Attentively in classes and taking notes, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Disagree","Neither agree nor disagree","Strongly disagree","Agree","Disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students, Giving Online tests-assignments and exams","Tired","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree",5,4,3,2,4,2,"Tired of phone and computer"
"257","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Laptop/ Desktop","Yes but only Sometimes","Google Classroom, Google Meet","4 hours","Between 1 hour - 1.5 hours","Yes","8 to 10 Hrs","Not at all","Collaborative work and events to keep us connected as a group, Presentations, Videos, Links to Educational Material","less than 30%","Much Lesser","Your attendance is low for those classes that are very early in the morning, You do not enjoy participating in online classes, I am discontented with the way some of my teachers are teaching online","Just joining the class and not paying attention purpose is to get attendance marked, Listening Passively in classes","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Neither agree nor disagree","Strongly disagree","Disagree","Agree","Agree","Disagree","Strongly agree","Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Giving Online tests-assignments and exams","Exhausted","Strongly disagree","Disagree","Strongly disagree","Strongly agree","Strongly disagree",4,2,5,4,1,1,"Overworked"
"258","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","No","Google Meet","5 hours","More than 1.5 hours","Yes","10 to 12 Hrs","Yes","Presentations, Videos, Links to Educational Material","50-69%","Little Lesser","It has not decreased","Listening Attentively in classes and taking notes","Strongly disagree","Disagree","Disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","Neither agree nor disagree","Disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Finding Ebooks-worksheets-study material etc. for learning from Internet, Giving Online tests-assignments and exams","Exhausted","Neither agree nor disagree","Disagree","Disagree","Agree","Agree",4,2,4,3,4,2,"Tired of phone and computer"
"259","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Laptop/ Desktop","No","Zoom, Google Classroom, Google Meet","More than 5 hours","Between 1 hour - 1.5 hours","Yes","10 to 12 Hrs","Yes but insufficient","Presentations, Videos, Links to Educational Material","70-89%","Almost the Same","It has not decreased, You are exhausted with online learning, I am discontented with the way some of my teachers are teaching online","Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Switching on my Camera in class","Agree","Neither agree nor disagree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Neither agree nor disagree","Disagree","Agree","Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests","Tired","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree",4,3,3,2,1,1,"Hopeful"
"260","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","No","Microsoft Teams","4 hours","Between 1 hour - 1.5 hours","Yes","6 to 8 Hrs","Yes but insufficient","EBooks, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased","Discussing topics with teachers and peers in class","Agree","Agree","Agree","Agree","Agree","Agree","Strongly disagree","Strongly disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Receiving feedback from teachers, Attempting group projects/ activities with other students","Relieved","Disagree","Agree","Disagree","Agree","Disagree",3,3,2,2,2,2,"Frustrated"
"261","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Laptop/ Desktop","Yes but only Sometimes","Zoom, Google Classroom, Google Meet","5 hours","Between 1 hour - 1.5 hours","Yes","10 to 12 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, One to One mentoring Sessions if required, Collaborative work and events to keep us connected as a group, Presentations, Videos, Links to Educational Material","70-89%","Much More","Your attendance is low for those classes that are very early in the morning, You are exhausted with online learning, Technological glitches with platform/internet","Doing and submitting assignments/ projects/ research work assigned in time","Agree","Disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Agree","Agree","Disagree","Disagree","Agree","Training on how to attend classes online more effectively, Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined","Tired","Disagree","Agree","Strongly disagree","Strongly agree","Agree",4,2,3,4,3,1,"Crushingly bored"
